read student table,2024-02-02 14:57:29
read the student table,2024-02-02 15:05:21
read the student table,2024-02-02 15:29:06
read the grade table,2024-02-02 15:29:29
Displayed all students with their grades.,2024-02-02 15:29:29
dispalyed all courses gradewise,2024-02-02 15:29:31
displayed students gradewise,2024-02-02 15:29:32
